company,year,theme,subtheme,keyword,count
Shell,2014,Horizon Scanning / Sense-making,External environment,"competition [competitions, compete, competes, competing, competitive, competitor, competitors]",1
Shell,2015,Horizon Scanning / Sense-making,External environment,"competition [competitions, compete, competes, competing, competitive, competitor, competitors]",2
Shell,2016,Horizon Scanning / Sense-making,External environment,"competition [competitions, compete, competes, competing, competitive, competitor, competitors]",4
Shell,2020,Horizon Scanning / Sense-making,External environment,"competition [competitions, compete, competes, competing, competitive, competitor, competitors]",0
Shell,2022,Horizon Scanning / Sense-making,External environment,"competition [competitions, compete, competes, competing, competitive, competitor, competitors]",0
Shell,2024,Horizon Scanning / Sense-making,External environment,"competition [competitions, compete, competes, competing, competitive, competitor, competitors]",3
Shell,2025,Horizon Scanning / Sense-making,External environment,"competition [competitions, compete, competes, competing, competitive, competitor, competitors]",2
Amazon,1997,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",25
Amazon,2016,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",17
Amazon,2020,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",20
Amazon,2021,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",54
Amazon,2022,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",58
Amazon,2024,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",62
Amazon,2025,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",52
Chevron,2013,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",0
Chevron,2018,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",1
Chevron,2020,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",2
Chevron,2021,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",6
Chevron,2022,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",3
Chevron,2023,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",3
Chevron,2024,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",3
Nvidia,2017,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",0
Nvidia,2018,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",0
Nvidia,2020,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",0
Nvidia,2021,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",1
Nvidia,2022,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",3
Nvidia,2023,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",4
Nvidia,2025,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",6
Shell,2014,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",0
Shell,2015,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",0
Shell,2016,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",0
Shell,2020,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",10
Shell,2022,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",2
Shell,2024,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",1
Shell,2025,"Purpose, Vision, and Governance",Customer orientation,"customer [customers] !custom, customize, customized, customizing, customizes",7
Amazon,1997,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Amazon,2016,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Amazon,2020,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",4
Amazon,2021,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",5
Amazon,2022,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",7
Amazon,2024,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",1
Amazon,2025,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",4
Chevron,2013,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Chevron,2018,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Chevron,2020,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Chevron,2021,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Chevron,2022,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",1
Chevron,2023,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Chevron,2024,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Nvidia,2017,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Nvidia,2018,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Nvidia,2020,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",1
Nvidia,2021,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",1
Nvidia,2022,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",1
Nvidia,2023,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Nvidia,2025,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Shell,2014,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Shell,2015,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Shell,2016,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Shell,2020,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Shell,2022,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Shell,2024,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Shell,2025,"Purpose, Vision, and Governance",Customer orientation,"consumer [consumers] !consume, consumed, consuming, consumables, consumes, consumption",0
Amazon,1997,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Amazon,2016,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Amazon,2020,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Amazon,2021,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Amazon,2022,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Amazon,2024,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Amazon,2025,"Purpose, Vision, and Governance",Customer orientation,user [users],2
Chevron,2013,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Chevron,2018,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Chevron,2020,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Chevron,2021,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Chevron,2022,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Chevron,2023,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Chevron,2024,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Nvidia,2017,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Nvidia,2018,"Purpose, Vision, and Governance",Customer orientation,user [users],1
Nvidia,2020,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Nvidia,2021,"Purpose, Vision, and Governance",Customer orientation,user [users],1
Nvidia,2022,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Nvidia,2023,"Purpose, Vision, and Governance",Customer orientation,user [users],4
Nvidia,2025,"Purpose, Vision, and Governance",Customer orientation,user [users],1
Shell,2014,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Shell,2015,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Shell,2016,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Shell,2020,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Shell,2022,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Shell,2024,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Shell,2025,"Purpose, Vision, and Governance",Customer orientation,user [users],0
Amazon,1997,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",2
Amazon,2016,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",3
Amazon,2020,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Amazon,2021,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",20
Amazon,2022,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",16
Amazon,2024,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",20
Amazon,2025,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",17
Chevron,2013,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Chevron,2018,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",1
Chevron,2020,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Chevron,2021,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Chevron,2022,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",1
Chevron,2023,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Chevron,2024,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Nvidia,2017,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Nvidia,2018,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",1
Nvidia,2020,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Nvidia,2021,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",1
Nvidia,2022,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Nvidia,2023,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",1
Nvidia,2025,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",1
Shell,2014,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",1
Shell,2015,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Shell,2016,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Shell,2020,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Shell,2022,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Shell,2024,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",2
Shell,2025,"Purpose, Vision, and Governance",Customer orientation,"experience [experiences, experienced, experiencing]",0
Amazon,1997,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",1
Amazon,2016,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",2
Amazon,2020,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Amazon,2021,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Amazon,2022,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",1
Amazon,2024,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Amazon,2025,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",2
Chevron,2013,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Chevron,2018,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Chevron,2020,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Chevron,2021,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Chevron,2022,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Chevron,2023,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Chevron,2024,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Nvidia,2017,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Nvidia,2018,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Nvidia,2020,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Nvidia,2021,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Nvidia,2022,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Nvidia,2023,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Nvidia,2025,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Shell,2014,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Shell,2015,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Shell,2016,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Shell,2020,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Shell,2022,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Shell,2024,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Shell,2025,"Purpose, Vision, and Governance",Customer orientation,"convenience [convenient, conveniently]",0
Amazon,1997,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],4
Amazon,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Amazon,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],7
Amazon,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],3
Amazon,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],5
Amazon,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],2
Amazon,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],2
Chevron,2013,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Chevron,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Chevron,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Chevron,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],2
Chevron,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],1
Chevron,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Chevron,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Nvidia,2017,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],1
Nvidia,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],1
Nvidia,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],1
Nvidia,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Nvidia,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],1
Nvidia,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],0
Nvidia,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],1
Shell,2014,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],6
Shell,2015,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],2
Shell,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],3
Shell,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],4
Shell,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],7
Shell,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],2
Shell,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,shareholder [shareholders],2
Amazon,1997,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Amazon,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Amazon,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Amazon,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Amazon,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Amazon,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Amazon,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Chevron,2013,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],4
Chevron,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],4
Chevron,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],8
Chevron,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],2
Chevron,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],4
Chevron,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],3
Chevron,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],5
Nvidia,2017,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Nvidia,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Nvidia,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Nvidia,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Nvidia,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Nvidia,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Nvidia,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Shell,2014,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Shell,2015,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Shell,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Shell,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Shell,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Shell,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Shell,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,stockholder [stockholders],0
Amazon,1997,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Amazon,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",0
Amazon,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",0
Amazon,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Amazon,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",6
Amazon,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",1
Amazon,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Chevron,2013,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Chevron,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",4
Chevron,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",7
Chevron,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",5
Chevron,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",5
Chevron,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Chevron,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Nvidia,2017,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",1
Nvidia,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",1
Nvidia,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Nvidia,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",0
Nvidia,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",1
Nvidia,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",0
Nvidia,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Shell,2014,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Shell,2015,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",0
Shell,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",3
Shell,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",1
Shell,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",2
Shell,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",1
Shell,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,"return [returns, returning, returned]",1
Amazon,1997,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Amazon,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Amazon,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Amazon,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Amazon,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Amazon,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,1
Amazon,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Chevron,2013,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,1
Chevron,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Chevron,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,3
Chevron,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Chevron,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Chevron,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Chevron,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Nvidia,2017,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Nvidia,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Nvidia,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Nvidia,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Nvidia,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Nvidia,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Nvidia,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Shell,2014,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Shell,2015,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,0
Shell,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Shell,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Shell,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,4
Shell,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,3
Shell,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,cash flow,2
Amazon,1997,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Amazon,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Amazon,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,8
Amazon,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Amazon,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Amazon,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Amazon,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Chevron,2013,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Chevron,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Chevron,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Chevron,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Chevron,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Chevron,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Chevron,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Nvidia,2017,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Nvidia,2018,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Nvidia,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Nvidia,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Nvidia,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Nvidia,2023,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Nvidia,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,1
Shell,2014,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Shell,2015,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Shell,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Shell,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Shell,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Shell,2024,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Shell,2025,"Purpose, Vision, and Governance",Shareholder/value orientation,value creation,0
Amazon,1997,"Purpose, Vision, and Governance",Shareholder/value orientation,dividend [dividends],0
Amazon,2016,"Purpose, Vision, and Governance",Shareholder/value orientation,dividend [dividends],0
Amazon,2020,"Purpose, Vision, and Governance",Shareholder/value orientation,dividend [dividends],0
Amazon,2021,"Purpose, Vision, and Governance",Shareholder/value orientation,dividend [dividends],0
Amazon,2022,"Purpose, Vision, and Governance",Shareholder/value orientation,dividend [dividends],0
